Name,logTeff,logLum,Mass,logAge,logMass
053507.4-052640,3.467,-0.79,0.13,5.56,-0.8860566476931632
053507.5-051950,,,,,
053507.7-052101,,,,,
053507.7-052126,,,,,
053507.7-052452,3.491,-1.27,0.14,6.72,-0.8538719643217619
053507.7-052626,,,,,
053507.8-051705,3.513,-1.11,0.21,6.73,-0.6777807052660807
053507.8-052029,,,,,
053507.8-052917,3.502,-0.6,0.23,6.31,-0.638272163982407
053507.9-052003,,,,,
053507.9-052117,3.502,-0.79,0.21,6.43,-0.6777807052660807
053508.0-053243,3.58,-0.5,0.55,6.62,-0.2596373105057561
053508.1-053022,,,,,
053508.2-052046,,,,,
053508.2-052403,,,,,
053508.2-052912,3.479,-1.05,0.13,6.44,-0.8860566476931632
053508.3-051502,,,,,
053508.3-051913,,,,,
053508.3-051937,,,,,
053508.3-052434,,,,,
053508.3-052757,,,,,
053508.4-052119,,,,,
053508.4-052230,,,,,
053508.4-052304,,,,,
053508.4-052829,3.695,-0.08,1.1,7.28,0.04139268515822507
053508.5-052440,,,,,
053508.5-052441,3.479,-0.8,0.15,5.75,-0.8239087409443188
053508.5-052501,,,,,
053508.5-052518,3.535,-0.02,0.33,5.42,-0.4814860601221125
053508.6-051613,,,,,
053508.6-051647,,,,,
053508.6-052619,3.479,-1.19,0.11,6.62,-0.958607314841775
053508.7-052256,,,,,
053508.7-052901,3.585,-0.16,0.57,6.21,-0.24412514432750865
053508.8-051705,,,,,
053508.8-053148,3.661,0.09,1.3,6.74,0.11394335230683678
053508.9-051933,,,,,
053509.0-052259,,,,,
053509.0-052959,3.679,0.45,1.72,6.48,0.23552844690754893
053509.1-051651,,,,,
053509.2-051648,,,,,
053509.2-053058,,,,,
053509.3-052141,,,,,
053509.4-052058,,,,,
053509.5-052148,,,,,
053509.5-052748,,,,,
053509.6-052124,3.502,-0.59,0.24,6.05,-0.619788758288394
053509.6-052151,,,,,
053509.6-052355,,,,,
053509.6-052623,3.557,-1.21,0.38,7.32,-0.42021640338318983
053509.6-052800,3.464,-0.56,0.13,5.16,-0.8860566476931632
053509.6-052822,3.557,-0.2,0.41,6.08,-0.38721614328026455
053509.7-052128,,,,,
053509.7-052326,3.591,0.34,0.59,5.76,-0.22914798835785583
053509.7-052406,,,,,
053509.8-051858,,,,,
053509.8-051933,3.502,-0.19,0.24,5.2,-0.619788758288394
053509.8-052550,,,,,
053509.8-052634,,,,,
