TIC,Flagfit,Luminosity,E_Luminosity,e_Luminosity,Teff,E_Teff,e_Teff,Radius,E_Radius,e_Radius,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Age,E_Age,e_Age,Ageyr,e_Ageyr,E_Ageyr,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,logAge,logAge_err,logMass,logMass_err,logLum,logTeff
233729687,yes,2.501,0.092,0.075,5579.0,48.0,40.0,1.693,0.028,0.027,4.014,0.037,0.034,1.081,0.079,0.072,8.6,2.0,2.0,8600000000.0,2000000000.0,2000000000.0,6600000000.0,6600000000.0,6600000000.0,1.002,1.009,1.002,9.934498451243568,0.33329576518156534,0.03382569395331033,-0.33574479193049234,0.3981136917305025,3.746556361410369
233504762,yes,3.355,0.075,0.063,5449.0,32.0,29.0,2.056,0.023,0.022,3.88,0.025,0.029,1.168,0.064,0.069,6.62,1.1,0.9,6620000000.0,900000000.0,1100000000.0,5520000000.0,5720000000.0,5520000000.0,1.1039999999999999,1.099,1.099,9.8208579894397,0.3621307462395695,0.06744284277638066,-0.3408176728430738,0.5256925245050108,3.736316807904109
366487943,yes,6.33,0.26,0.24,5878.0,30.0,27.0,2.424,0.046,0.046,3.803,0.022,0.023,1.36,0.059,0.055,3.69,0.41,0.38,3690000000.0,380000000.0,410000000.0,3280000000.0,3310000000.0,3280000000.0,1.3010000000000002,1.3050000000000002,1.3010000000000002,9.56702636615906,0.3860395394695571,0.13353890837021754,-0.3465019198514719,0.8014037100173551,3.7692295817365937
219785632,yes,3.99,0.13,0.13,4856.0,19.0,20.0,2.822,0.049,0.05,3.603,0.053,0.054,1.17,0.14,0.13,7.3,3.8,2.5,7300000000.0,2500000000.0,3800000000.0,3500000000.0,4800000000.0,3500000000.0,1.0299999999999998,1.04,1.0299999999999998,9.863322860120455,0.20822338173443578,0.06818586174616162,-0.3188736404790147,0.6009728956867483,3.686278678067201
377292679,yes,9.0,0.45,0.43,4900.0,24.0,23.0,4.16,0.11,0.1,3.281,0.073,0.078,1.2,0.21,0.19,5.5,4.5,2.4,5500000000.0,2400000000.0,4500000000.0,1000000000.0,3100000000.0,1000000000.0,0.99,1.01,0.99,9.740362689494244,0.07896263307331851,0.07918124604762482,-0.29882794317705724,0.9542425094393249,3.690196080028514
233542607,yes,7.06,0.36,0.31,6021.0,43.0,37.0,2.441,0.056,0.053,3.843,0.033,0.051,1.532,0.086,0.17,2.51,1.0,0.46,2510000000.0,460000000.0,1000000000.0,1510000000.0,2050000000.0,1510000000.0,1.446,1.362,1.362,9.399673721481038,0.26126879190195623,0.18525876529658514,-0.32202204178111554,0.8488047010518037,3.779668627207148
376882829,yes,2.39,0.13,0.12,5916.0,30.0,29.0,1.472,0.039,0.036,4.17,0.035,0.041,1.177,0.078,0.1,5.1,2.8,1.5,5100000000.0,1500000000.0,2800000000.0,2300000000.0,3600000000.0,2300000000.0,1.099,1.077,1.077,9.707570176097937,0.19585829576029,0.0707764628434347,-0.33144120367826846,0.3783979009481377,3.772028165324855
376847584,yes,7.09,0.33,0.29,4885.0,19.0,20.0,3.716,0.088,0.08,3.364,0.07,0.068,1.16,0.2,0.16,6.2,4.5,2.6,6200000000.0,2600000000.0,4500000000.0,1700000000.0,3600000000.0,1700000000.0,0.96,0.9999999999999999,0.96,9.792391689498254,0.11908074503798838,0.06445798922691845,-0.299764707889211,0.8506462351830666,3.688864568054792
235675676,yes,6.87,0.37,0.35,5038.0,26.0,26.0,3.438,0.094,0.089,3.474,0.059,0.076,1.29,0.16,0.2,4.5,3.5,1.5,4500000000.0,1500000000.0,3500000000.0,1000000000.0,3000000000.0,1000000000.0,1.1300000000000001,1.09,1.09,9.653212513775344,0.09650988486738928,0.11058971029924897,-0.30605821758326746,0.8369567370595504,3.702258163162094
219811619,yes,2.393,0.074,0.069,5681.0,26.0,24.0,1.597,0.023,0.023,4.102,0.037,0.044,1.17,0.11,0.1,6.4,2.9,2.0,6400000000.0,2000000000.0,2900000000.0,3500000000.0,4400000000.0,3500000000.0,1.0599999999999998,1.0699999999999998,1.0599999999999998,9.806179973983888,0.2375047947908408,0.06818586174616162,-0.32816122224053934,0.3789426986134373,3.7544247892772584
233574434,yes,6.28,0.37,0.34,5179.0,19.0,19.0,3.111,0.088,0.084,3.559,0.045,0.066,1.29,0.12,0.18,4.0,2.9,1.1,4000000000.0,1100000000.0,2900000000.0,1100000000.0,2900000000.0,1100000000.0,1.17,1.11,1.11,9.602059991327963,0.11943098252339425,0.11058971029924897,-0.31167396469488706,0.7979596437371961,3.714245911017894
219869966,yes,4.19,0.14,0.13,5693.0,29.0,27.0,2.103,0.035,0.034,3.89,0.056,0.028,1.253,0.17,0.072,5.12,0.88,1.8,5120000000.0,1800000000.0,880000000.0,4240000000.0,3320000000.0,3320000000.0,1.083,1.1809999999999998,1.083,9.709269960975831,0.2816128281091398,0.09795107099414996,-0.3130722991712041,0.6222140229662954,3.755341183811548
230015612,yes,7.51,0.27,0.23,5502.0,42.0,37.0,3.015,0.051,0.05,3.659,0.019,0.024,1.51,0.055,0.066,2.68,0.2,0.18,2680000000.0,180000000.0,200000000.0,2480000000.0,2500000000.0,2480000000.0,1.455,1.444,1.444,9.42813479402879,0.4018844459403225,0.17897694729316943,-0.34638374469008276,0.8756399370041683,3.7405205860536648
441804888,yes,6.55,0.45,0.41,6091.0,34.0,28.0,2.295,0.077,0.071,3.873,0.042,0.043,1.45,0.11,0.13,2.84,1.0,0.67,2840000000.0,670000000.0,1000000000.0,1840000000.0,2170000000.0,1840000000.0,1.3399999999999999,1.3199999999999998,1.3199999999999998,9.453318340047037,0.28137388968379695,0.16136800223497488,-0.3297411786781321,0.8162412999917831,3.7846885995014214
233098055,yes,5.86,0.22,0.19,5650.0,40.0,36.0,2.528,0.045,0.045,3.767,0.029,0.024,1.362,0.072,0.059,3.68,0.37,0.39,3680000000.0,390000000.0,370000000.0,3310000000.0,3290000000.0,3290000000.0,1.29,1.3030000000000002,1.29,9.565847818673518,0.3882687080058963,0.13417710757676637,-0.3430677227770247,0.7678976160180907,3.7520484478194387
233574783,yes,2.264,0.1,0.092,5668.0,31.0,29.0,1.561,0.034,0.033,4.094,0.048,0.038,1.1,0.12,0.075,8.0,2.4,3.0,8000000000.0,3000000000.0,2400000000.0,5600000000.0,5000000000.0,5000000000.0,0.9800000000000001,1.0250000000000001,0.9800000000000001,9.903089986991944,0.27143405118953234,0.04139268515822507,-0.32270124993224913,0.3548764225162338,3.753429841575423
389969880,yes,6.8,0.34,0.3,5054.0,23.0,22.0,3.398,0.084,0.077,3.482,0.056,0.075,1.28,0.17,0.19,4.6,3.7,1.6,4600000000.0,1600000000.0,3700000000.0,900000000.0,3000000000.0,900000000.0,1.11,1.09,1.09,9.662757831681574,0.08497065950281013,0.10720996964786837,-0.3084492974081367,0.8325089127062363,3.703635237583896
229649902,yes,14.79,1.1,0.96,4842.0,20.0,21.0,5.47,0.2,0.18,3.085,0.079,0.09,1.33,0.24,0.24,4.4,4.3,1.9,4400000000.0,1900000000.0,4300000000.0,100000000.0,2500000000.0,100000000.0,1.09,1.09,1.09,9.643452676486188,0.009870329134164814,0.12385164096708583,-0.2968534591597105,1.1699681739968923,3.685024785105714
229715231,yes,4.18,0.22,0.2,5943.0,51.0,43.0,1.925,0.046,0.045,3.987,0.04,0.05,1.32,0.1,0.14,3.9,1.8,1.0,3900000000.0,1000000000.0,1800000000.0,2100000000.0,2900000000.0,2100000000.0,1.22,1.1800000000000002,1.1800000000000002,9.5910646070265,0.23385087487098172,0.1205739312058499,-0.32379887323133844,0.6211762817750351,3.7740057302582093
229714962,yes,2.38,0.12,0.11,5895.0,27.0,25.0,1.478,0.036,0.034,4.16,0.035,0.04,1.154,0.083,0.091,5.6,2.6,1.7,5600000000.0,1700000000.0,2600000000.0,3000000000.0,3900000000.0,3000000000.0,1.071,1.063,1.063,9.7481880270062,0.2326577581624563,0.06220580881971259,-0.33365275310877773,0.37657695705651195,3.770483809431108
198241851,yes,5.01,0.42,0.36,5596.0,62.0,52.0,2.379,0.089,0.081,3.781,0.034,0.035,1.251,0.071,0.071,4.54,0.76,0.56,4540000000.0,560000000.0,760000000.0,3780000000.0,3980000000.0,3780000000.0,1.18,1.18,1.18,9.657055852857104,0.3615932029943374,0.0972573096934199,-0.34165828350548894,0.6998377258672457,3.74787770581979
357100797,yes,5.87,0.29,0.27,6413.0,31.0,28.0,1.962,0.047,0.046,4.03,0.026,0.03,1.506,0.071,0.078,2.05,0.59,0.46,2049999999.9999998,460000000.0,590000000.0,1459999999.9999998,1589999999.9999998,1459999999.9999998,1.435,1.428,1.428,9.311753861055754,0.3093024115018281,0.17782497186468177,-0.3434555135875389,0.7686381012476144,3.807061239917239
235677651,yes,1.798,0.069,0.065,6053.0,29.0,27.0,1.219,0.022,0.022,4.336,0.029,0.034,1.176,0.068,0.078,2.7,2.3,1.7,2700000000.0,1700000000.0,2300000000.0,400000000.0,1000000000.0,400000000.0,1.1079999999999999,1.0979999999999999,1.0979999999999999,9.431363764158988,0.06433992324492618,0.07040732174011965,-0.33819117873470295,0.25478968739721,3.781970673912552
219879207,yes,6.5,0.36,0.35,4960.0,20.0,19.0,3.451,0.1,0.095,3.454,0.064,0.072,1.24,0.18,0.19,5.3,4.2,1.9,5300000000.0,1900000000.0,4200000000.0,1100000000.0,3400000000.0,1100000000.0,1.06,1.05,1.05,9.724275869600788,0.09013659058369376,0.09342168516223506,-0.3067148976890617,0.8129133566428556,3.6954816764901977
230131532,yes,5.59,0.21,0.19,5112.0,27.0,27.0,3.014,0.059,0.055,3.593,0.048,0.068,1.3,0.13,0.19,4.3,3.0,1.2,4300000000.0,1200000000.0,3000000000.0,1300000000.0,3100000000.0,1300000000.0,1.17,1.11,1.11,9.633468455579587,0.1312983317381924,0.11394335230683678,-0.30927647265877256,0.7474118078864233,3.7085908451503435
233727455,yes,3.85,0.28,0.22,6642.0,79.0,50.0,1.48,0.039,0.039,4.242,0.028,0.029,1.394,0.065,0.067,1.17,0.75,0.62,1170000000.0,620000000.0,750000000.0,420000000.0,550000000.0,420000000.0,1.329,1.327,1.327,9.068185861746162,0.15590058324732115,0.1442627737619906,-0.34480646980214336,0.5854607295085006,3.8222988712623662
219792306,yes,2.549,0.045,0.041,5647.0,28.0,27.0,1.668,0.014,0.013,4.035,0.049,0.03,1.099,0.13,0.069,8.0,2.0,2.9,8000000000.0,2900000000.0,2000000000.0,6000000000.0,5100000000.0,5100000000.0,0.969,1.03,0.969,9.903089986991944,0.27686273221332297,0.04099769242349056,-0.31936942888969966,0.4063698354692675,3.7518177877368792
356868590,yes,2.203,0.087,0.082,5795.0,24.0,24.0,1.473,0.028,0.027,4.165,0.034,0.042,1.159,0.081,0.099,6.0,2.9,1.9,6000000000.0,1900000000.0,2900000000.0,3100000000.0,4100000000.0,3100000000.0,1.078,1.06,1.06,9.778151250383644,0.2243854823166801,0.064083435963596,-0.3312757808640476,0.3430144971507676,3.7630534402996147
