HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper,age_up_diff,age_lo_diff,age_err,mass_up_diff,mass_lo_diff,mass_err,Age,Age_err,logAge,logAge_err,logMass,logMass_err,logTeff,logLum
63562,6771,230,4.13,0.14,,,1412.0,1728.0,1804.0,1122.0,2738.0,68,290.0,4467.0,95,1822.0,1.36,1.35,1.35,1.3,1.4,68,1.2,1.6,95,1.4,6180493299411153536,7.764089,14781231.889500547,7379.782959336545,7.980061500000001,8882407.281639595,18001.380320965633,7.439056,8494653.54667534,19057.61262542001,5.56406,5.4993300000000005,5.628790400000001,1326.0,290.0,290.0,0.039999999999999813,0.06000000000000005,0.039999999999999813,1412000000.0,290000000.0,9.149834696715786,0.089196458747835,0.13353890837021754,0.012773367114801462,3.8306528137974243,0.7453918045566043
63569,6868,234,4.3,0.14,,,959.0,1198.0,1562.0,668.0,2441.0,68,130.0,3548.0,95,386.0,1.35,1.35,1.35,1.3,1.4,68,1.2,1.5,95,1.38,3497935856806670720,7.1029572,27174618.892257325,8680.672762982684,7.3167553,16362633.27348986,33451.054699283086,6.7989144,15318007.425901936,40596.122938039065,4.3855643,4.362627,4.408501599999999,1482.0,291.0,291.0,0.04999999999999982,0.050000000000000044,0.04999999999999982,959000000.0,291000000.0,8.981818607170663,0.13178278856501174,0.13033376849500614,0.016084980811231487,3.836830286488879,0.6420254829035341
63814,6553,223,3.96,0.14,,,1684.0,2017.0,2271.0,1189.0,4217.0,68,290.0,6494.0,95,2253.0,1.24,1.24,1.24,1.1,1.3,68,1.1,1.4,95,1.46,6140947954969683456,7.799859,14302191.891422104,3899.770109008495,8.053064,8304810.293945055,13827.709926481744,7.442332700000001,8469053.70484707,21338.66457662099,4.9134765,4.876547,4.950406,2533.0,495.0,495.0,0.06000000000000005,0.1399999999999999,0.06000000000000005,1684000000.0,495000000.0,9.22634208716363,0.1276578197993525,0.09342168516223506,0.02101424912435091,3.816440167956139,0.6913888832648658
63839,10659,362,4.46,0.14,149.0,1.0,200.0,251.0,294.0,186.0,346.0,68,58.0,376.0,95,7.0,2.55,2.54,2.5,2.4,2.7,68,2.3,2.9,95,2.84,5862028930545927936,6.618045,42474508.905653626,12572.767616988252,6.6338716,30690691.35284797,27966.5321401612,6.6384645,17757517.054772507,20816.90042340717,,,,146.0,14.0,14.0,0.15000000000000036,0.1499999999999999,0.15000000000000036,200000000.0,14000000.0,8.301029995663981,0.030400613733227628,0.4065401804339551,0.02554673422960311,4.02771646220899,
63878,6340,216,4.18,0.14,,,3007.0,3289.0,3117.0,2227.0,5947.0,68,1122.0,8913.0,95,3082.0,1.21,1.2,1.13,1.1,1.3,68,1.0,1.4,95,1.24,3930209643540810752,7.8233147,13996532.837203111,3088.13709466435,8.087195,8047797.996485052,7563.251740631824,7.444683599999999,8450737.169812964,9541.398960434131,3.3980284,3.381075,3.4149818,2940.0,780.0,780.0,0.09000000000000008,0.10999999999999988,0.09000000000000008,3007000000.0,780000000.0,9.478133428100518,0.11265370664600478,0.08278537031645007,0.032302895348175785,3.8020892578817325,0.5312270042892786
63902,6475,220,4.26,0.14,,,2730.0,2681.0,2476.0,1917.0,3886.0,68,1480.0,5953.0,95,2167.0,1.33,1.32,1.3,1.2,1.4,68,1.1,1.6,95,1.24,3692887823985944064,7.896737,13081319.076949438,4315.751674271257,8.149728999999999,7597377.7229028335,9230.955404912227,7.5387454,7749432.516588145,12775.593732992906,2.8332446,2.817639,2.84885,1156.0,813.0,813.0,0.06999999999999984,0.13000000000000012,0.06999999999999984,2730000000.0,813000000.0,9.436162647040756,0.1293338512041552,0.12385164096708583,0.02285760431069741,3.8112397727532894,0.45228406970034507
63933,9179,312,4.19,0.14,83.0,0.0,297.0,369.0,494.0,261.0,596.0,68,65.0,649.0,95,397.0,2.04,2.03,2.0,1.9,2.1,68,1.8,2.3,95,2.05,1461347955152408960,6.499998000000001,47352943.89516298,11734.65177009722,6.549027,33185201.53846615,25124.707353053043,6.4627924000000005,20876177.464335542,42151.06708308857,,,,299.0,36.0,36.0,0.06000000000000005,0.14000000000000012,0.06000000000000005,297000000.0,36000000.0,8.472756449317213,0.05264175538221234,0.3096301674258988,0.012773367114801534,3.962795369857233,
64030,6195,211,3.98,0.14,,,3742.0,3981.0,4532.0,2837.0,5359.0,62,1995.0,7499.0,95,3177.0,1.22,1.2,1.13,1.1,1.3,68,1.0,1.4,95,1.35,3690781915621397888,7.4186587,20318082.1738541,4899.099000704997,7.6761723,11751312.06870261,21023.420397947983,7.054924000000001,12100360.7141434,25897.0670690178,4.5692525,4.392144,4.746361,1617.0,905.0,905.0,0.08000000000000007,0.11999999999999988,0.08000000000000007,3742000000.0,905000000.0,9.57310378316399,0.105033807087772,0.08635983067474821,0.02847832668218047,3.792041310712082,0.6598451581272086
64056,6518,222,4.24,0.14,,,2535.0,2513.0,2337.0,1780.0,3303.0,64,1334.0,5788.0,95,2104.0,1.34,1.33,1.3,1.2,1.4,68,1.1,1.6,95,1.26,3620908467071718016,7.6169724,16926119.63710104,5414.06086516902,7.868870699999999,9840266.971597388,12871.230890025116,7.259668400000001,10020761.4603391,19006.73768889904,3.0702868,3.0522535,3.08832,768.0,755.0,755.0,0.05999999999999983,0.14000000000000012,0.05999999999999983,2535000000.0,755000000.0,9.403977963669355,0.1293460882986016,0.12710479836480765,0.019446021577757485,3.8141143561291253,0.487178945457566
64177,6358,216,4.21,0.14,,,2359.0,2901.0,3029.0,1830.0,5788.0,68,447.0,7499.0,95,2997.0,1.18,1.17,1.15,1.1,1.3,68,1.0,1.3,95,1.22,6140926755011471872,7.935639,12620910.36484436,4839.600946910694,8.207832000000002,7201488.275723062,11611.822824483785,7.560194500000001,7597841.874349828,38445.3795867106,3.0597062000000004,3.0441113,3.0753012,3429.0,529.0,529.0,0.1200000000000001,0.07999999999999985,0.1200000000000001,2359000000.0,529000000.0,9.372727940885595,0.09738947898551088,0.07188200730612536,0.04416554053253412,3.803320523578754,0.48567972653236313
